id,province,population,x_coord,y_coord,latitude,longitude,name,household_id
44040,4,11091,109885.306071429,187836.857142857,50.9993387285714,3.79966655,MELLE,4
44043,4,23578,105982.441785714,185534.493928571,50.9834308357143,3.70726650357143,MERELBEKE,4
44045,4,6307,120888.353333333,208890.555833333,51.1734692,3.9342837,MOERBEKE,4
44048,4,11780,97507.9823529412,183198.254705882,50.9499533941176,3.63606598823529,NAZARETH,4
44049,4,11478,93003.187962963,194298.487592593,51.0526475333333,3.55414694814815,NEVELE,4
44052,4,14185,109714.994807692,181365.515384615,50.9416152807692,3.79582495769231,OOSTERZELE,4
44064,4,9007,97501.9933333333,189281.116333333,51.00907072,3.62158326,SINT-MARTENS-LATEM,4
44072,4,8479,96946.2583333333,204508.130333333,51.1514819,3.6060488,WAARSCHOOT,4
44073,4,7490,115025.415384615,207862.160769231,51.17095,3.86055,WACHTEBEKE,4
44080,4,8603,93353.9430769231,202204.497692308,51.1268390615385,3.55547008461538,ZOMERGEM,4
44081,4,15568,86859.1190476191,180994.790952381,50.9383049238095,3.46480478095238,ZULTE,4
45017,4,8260,90819.7157142857,177506.032380952,50.8996273285714,3.52897187142857,KRUISHOUTEM,4
45035,4,29693,96897.9726785714,171516.72375,50.8670017267857,3.56625518571429,OUDENAARDE,4
45041,4,24158,96552.3957894737,160152.343684211,50.7505367,3.6005095,RONSE,4
45057,4,7005,97610.6533333333,177773.431666667,50.8984487333333,3.62428904166667,ZINGEM,4
45059,4,14400,107019.592285714,166487.512285714,50.8088083685714,3.76539539428571,BRAKEL-NEDERBRAKEL,4
45060,4,6240,89819.1111111111,163762.383333333,50.8061825055556,3.51540862222222,KLUISBERGEN-RUIEN ,4
45061,4,6373,91221.6723529412,171104.139411765,50.8302653705882,3.53211275882353,WORTEGEM-PETEGEM-PETEGEM-AAN-DE-SCHELDE ,4
45062,4,2030,102348.994285714,169406.882857143,50.8387574285714,3.69351931428571,HOREBEKE,4
45063,4,6817,112907.195789474,166475.167368421,50.8071444315789,3.83856895789474,LIERDE,4
45064,4,6593,98348.1455555556,165184.636111111,50.8022757722222,3.60269307777778,MAARKEDAL-ETIKHOVE,4
45065,4,8305,104510.613709677,174558.329354839,50.8820209806452,3.71647206451613,ZWALM-MUNKZWALM,4
46003,4,49339,140583.431639344,213636.579180328,51.2322929,4.23745185901639,BEVEREN,4
